Age,Gender,Annual_Family_Income,Place_Of_Residence,Current_Status,Family_status,Study/Work_Time,Hobbies_Time,Time_For_Perosnal_Needs,Time_with_Family&Relatives,Time_with_Partner,Time_with_Friends,Health&Happiness,Happiness_Scale,Study/work time,Hobbies time,Family time,Partner time,Friends time,Sum of all the time,Personal needs time
30,Male,6 Lakhs - 12 Lakhs,Urban,"Student, Full Time Employed",with my family,3-5.5 hrs,1-2.5 hrs,9-11.5 hrs,0-0.5 hrs,6-8.5 hrs,0-0.5 hrs,0,4,4.25,1.75,0.25,7.25,0.25,13.75,10.25
31,Male,2 Lakhs - 6 Lakhs,Urban,Self-employed,with my family,9-11.5 hrs,1-2.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,0,3,10.25,1.75,1.75,0.25,0.25,14.25,9.75
31,Female,Less than 2 Lakhs,Urban,Full Time Employed,with my family,6-8.5 hrs,1-2.5 hrs,6-8.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,0,2,7.25,1.75,1.75,1.75,0.25,12.75,11.25
31,Male,More than 12 Lakhs,Urban,Full Time Employed,with my family,6-8.5 hrs,0-0.5 hrs,9-11.5 hrs,3-5.5 hrs,0-0.5 hrs,0-0.5 hrs,3,0,7.25,0.25,4.25,0.25,0.25,12.25,11.75
31,Female,More than 12 Lakhs,Urban,Full Time Employed,with my family,9-11.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,1,4,10.25,0.25,1.75,1.75,0.25,14.25,9.75
31,Female,6 Lakhs - 12 Lakhs,Urban,Unemployed,with my family,1-2.5 hrs,1-2.5 hrs,1-2.5 hrs,1-2.5 hrs,3-5.5 hrs,1-2.5 hrs,0,4,1.75,1.75,1.75,4.25,1.75,11.25,12.75
32,Male,More than 12 Lakhs,Rural,Full Time Employed,away from my family,9-11.5 hrs,0-0.5 hrs,1-2.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,1,3,10.25,0.25,1.75,1.75,0.25,14.25,9.75
32,Female,2 Lakhs - 6 Lakhs,Urban,Full Time Employed,with my family,12+ hrs,0-0.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,3,4,12,0.25,7.25,1.75,0.25,21.5,2.5
33,Female,Less than 2 Lakhs,Urban,Student,away from my family,1-2.5 hrs,0-0.5 hrs,9-11.5 hrs,1-2.5 hrs,0-0.5 hrs,6-8.5 hrs,2,2,1.75,0.25,1.75,0.25,7.25,11.25,12.75
34,Male,More than 12 Lakhs,Urban,Full Time Employed,with my family,3-5.5 hrs,1-2.5 hrs,6-8.5 hrs,1-2.5 hrs,3-5.5 hrs,0-0.5 hrs,1,3,4.25,1.75,1.75,4.25,0.25,12.25,11.75
34,Male,6 Lakhs - 12 Lakhs,Urban,Full Time Employed,with my family,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,3-5.5 hrs,1-2.5 hrs,0-0.5 hrs,0,4,7.25,1.75,4.25,1.75,0.25,15.25,8.75
36,Female,2 Lakhs - 6 Lakhs,Urban,Self-employed,with my family,9-11.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,1,1,10.25,0.25,1.75,0.25,0.25,12.75,11.25
36,Male,6 Lakhs - 12 Lakhs,Rural,Full Time Employed,with my family,3-5.5 hrs,1-2.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,2,1,4.25,1.75,1.75,0.25,0.25,8.25,15.75
37,Male,2 Lakhs - 6 Lakhs,Urban,Full Time Employed,with my family,9-11.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,5,0,10.25,0.25,1.75,0.25,0.25,12.75,11.25
38,Male,More than 12 Lakhs,Urban,Full Time Employed,with my family,9-11.5 hrs,1-2.5 hrs,6-8.5 hrs,3-5.5 hrs,1-2.5 hrs,1-2.5 hrs,4,4,10.25,1.75,4.25,1.75,1.75,19.75,4.25
38,Male,6 Lakhs - 12 Lakhs,Urban,Full Time Employed,with my family,6-8.5 hrs,0-0.5 hrs,9-11.5 hrs,3-5.5 hrs,3-5.5 hrs,0-0.5 hrs,4,3,7.25,0.25,4.25,4.25,0.25,16.25,7.75
38,Male,More than 12 Lakhs,Urban,Full Time Employed,with my family,6-8.5 hrs,0-0.5 hrs,9-11.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,0,3,7.25,0.25,1.75,1.75,0.25,11.25,12.75
39,Female,Less than 2 Lakhs,Urban,Unemployed,with my family,1-2.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,0,4,1.75,0.25,1.75,1.75,0.25,5.75,18.25
39,Female,6 Lakhs - 12 Lakhs,Urban,Full Time Employed,with my family,6-8.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,1-2.5 hrs,0-0.5 hrs,1,3,7.25,1.75,0.25,1.75,0.25,11.25,12.75
